10:06:06.035 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:06:06.036 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:06:06.178 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:06:06.180 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:06:06.181 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:06:06.193 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:06:06.193 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 156 ms
10:06:06.221 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1defe669, org.springframework.security.web.context.SecurityContextPersistenceFilter@2eeab7cb, org.springframework.security.web.header.HeaderWriterFilter@561b8929, org.springframework.security.web.authentication.logout.LogoutFilter@2c71b64f, org.springframework.security.web.session.ConcurrentSessionFilter@8dd2a03, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3c6fd965, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@243221fe, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3632ae77, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@788d8b73, org.springframework.security.web.session.SessionManagementFilter@435a3906, org.springframework.security.web.access.ExceptionTranslationFilter@7dfb7d5e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@67b2545a]
10:06:06.250 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:06:06.257 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:06:06.259 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.273 seconds (JVM running for 561.969)
10:06:06.260 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:06:55.667 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:06:55.667 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:06:55.821 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:06:55.821 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:06:55.821 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:06:55.837 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:06:55.837 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 168 ms
